Key: REVISION-LABEL, Value(Count): 3
Key: ISSUED-BY, Value(Count): 3
Key: DATE, Value(Count): 3
Key: DOC-REVISION, Value(Count): 3
Key: DOC-REVISIONS, Value(Count): 2
Key: ADMIN-DATA, Value(Count): 2
Key: SHORT-NAME, Value(Count): 332
Key: MODULE-REF, Value(Count): 1
Key: MODULE-REFS, Value(Count): 1
Key: ECUC-DEFINITION-COLLECTION, Value(Count): 1
Key: L-2, Value(Count): 189
Key: DESC, Value(Count): 189
Key: CATEGORY, Value(Count): 1
Key: LANGUAGE, Value(Count): 1
Key: REVISION-LABEL-P-1, Value(Count): 1
Key: LOWER-MULTIPLICITY, Value(Count): 189
Key: UPPER-MULTIPLICITY-INFINITE, Value(Count): 6
Key: POST-BUILD-VARIANT-SUPPORT, Value(Count): 1
Key: REFINED-MODULE-DEF-REF, Value(Count): 1
Key: SUPPORTED-CONFIG-VARIANT, Value(Count): 1
Key: SUPPORTED-CONFIG-VARIANTS, Value(Count): 1
Key: RELATED-TRACE-ITEM-REF, Value(Count): 188
Key: UPPER-MULTIPLICITY, Value(Count): 183
Key: SCOPE, Value(Count): 165
Key: ORIGIN, Value(Count): 305
Key: POST-BUILD-VARIANT-MULTIPLICITY, Value(Count): 183
Key: POST-BUILD-VARIANT-VALUE, Value(Count): 165
Key: CONFIG-CLASS, Value(Count): 212
Key: CONFIG-VARIANT, Value(Count): 212
Key: ECUC-VALUE-CONFIGURATION-CLASS, Value(Count): 165
Key: VALUE-CONFIG-CLASSES, Value(Count): 165
Key: SYMBOLIC-NAME-VALUE, Value(Count): 148
Key: DEFAULT-VALUE, Value(Count): 148
Key: MAX, Value(Count): 69
Key: MIN, Value(Count): 69
Key: ECUC-INTEGER-PARAM-DEF, Value(Count): 59
Key: L-1, Value(Count): 100
Key: P, Value(Count): 100
Key: INTRODUCTION, Value(Count): 100
Key: ECUC-ENUMERATION-LITERAL-DEF, Value(Count): 140
Key: LITERALS, Value(Count): 36
Key: ECUC-ENUMERATION-PARAM-DEF, Value(Count): 36
Key: PARAMETERS, Value(Count): 20
Key: ECUC-MULTIPLICITY-CONFIGURATION-CLASS, Value(Count): 47
Key: MULTIPLICITY-CONFIG-CLASSES, Value(Count): 47
Key: ECUC-BOOLEAN-PARAM-DEF, Value(Count): 41
Key: DESTINATION-REF, Value(Count): 17
Key: ECUC-REFERENCE-DEF, Value(Count): 11
Key: ECUC-SYMBOLIC-NAME-REFERENCE-DEF, Value(Count): 6
Key: REFERENCES, Value(Count): 7
Key: ECUC-PARAM-CONF-CONTAINER-DEF, Value(Count): 23
Key: SUB-CONTAINERS, Value(Count): 9
Key: ECUC-FLOAT-PARAM-DEF, Value(Count): 10
Key: ECUC-FUNCTION-NAME-DEF-CONDITIONAL, Value(Count): 2
Key: ECUC-FUNCTION-NAME-DEF-VARIANTS, Value(Count): 2
Key: ECUC-FUNCTION-NAME-DEF, Value(Count): 2
Key: CONTAINERS, Value(Count): 1
Key: ECUC-MODULE-DEF, Value(Count): 1
Key: ELEMENTS, Value(Count): 1
Key: AR-PACKAGE, Value(Count): 2
Key: AR-PACKAGES, Value(Count): 2
Key: AUTOSAR, Value(Count): 1
